group,variable,available_years,n_years,all_2017_2023
Anthropometric,HE_ht,"2017,2018,2019,2020,2021,2022,2023",7,True
Anthropometric,HE_wt,"2017,2018,2019,2020,2021,2022,2023",7,True
Anthropometric,HE_wc,"2017,2018,2019,2020,2021,2022,2023",7,True
Anthropometric,HE_obe,"2017,2018,2019,2020,2021,2022,2023",7,True
Glucose/diabetes,HE_HbA1c,"2017,2018,2019,2020,2021,2022,2023",7,True
Glucose/diabetes,HE_DM_HbA1c,"2017,2018,2019,2020,2021,2022,2023",7,True
Lipids,HE_chol,"2017,2018,2019,2020,2021,2022,2023",7,True
Lipids,HE_HDL_st2,"2017,2018,2019,2020,2021,2022,2023",7,True
Lipids,HE_LDL_drct,"2017,2018,2019,2020,2021,2022,2023",7,True
Lipids,HE_HCHOL,"2017,2018,2019,2020,2021,2022,2023",7,True
Lipids,HE_HTG,"2017,2018,2019,2020,2021,2022,2023",7,True
Kidney/urine,HE_crea,"2017,2018,2019,2020,2021,2022,2023",7,True
Kidney/urine,HE_Uglu,"2017,2018,2019,2020,2021,2022,2023",7,True
Kidney/urine,HE_Ucrea,"2017,2018,2019,2020,2021,2022,2023",7,True
Kidney/urine,HE_UNa,"2017,2018,2019,2020,2021,2022,2023",7,True
Diet,N_NA,"2017,2018,2019,2020,2021,2022,2023",7,True
Diet,N_CHOL,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_HPfh1,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_HPfh2,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_HPfh3,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_HLfh1,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_HLfh2,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_HLfh3,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_DMfh1,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_DMfh2,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_DMfh3,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_IHDfh1,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_IHDfh2,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_IHDfh3,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_STRfh1,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_STRfh2,"2017,2018,2019,2020,2021,2022,2023",7,True
Family history,HE_STRfh3,"2017,2018,2019,2020,2021,2022,2023",7,True
Lifestyle/psychosocial,mh_stress,"2017,2018,2019,2020,2021,2022,2023",7,True
Lifestyle/psychosocial,LQ_7HT,"2017,2018,2019,2020,2021,2022,2023",7,True
Lifestyle/psychosocial,EC_wht_23,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,DI1_dg,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,DI1_pr,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,DI1_pt,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,DI1_2,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_HP,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_sbp,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_dbp,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_sbp1,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_dbp1,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_sbp2,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_dbp2,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_sbp3,"2017,2018,2019,2020,2021,2022,2023",7,True
Leakage/avoid,HE_dbp3,"2017,2018,2019,2020,2021,2022,2023",7,True
