feature,coefficient,abs_coefficient
sex,-1.08724263212501,1.08724263212501
HE_wc,0.46185968634504854,0.46185968634504854
HE_BMI,0.39336180686694777,0.39336180686694777
age,0.36047800804674646,0.36047800804674646
HE_HPfh1,0.3323630099507824,0.3323630099507824
educ_5.0,0.2835530312160314,0.2835530312160314
dr_month,0.22536507016186352,0.22536507016186352
HE_chol,0.19651348772039445,0.19651348772039445
HE_glu,0.18501436868135876,0.18501436868135876
HE_HPfh3,0.17166684003583532,0.17166684003583532
covid_period_during,-0.16700612171027598,0.16700612171027598
HE_HbA1c,-0.14546217903831984,0.14546217903831984
educ_4.0,-0.13426926551808951,0.13426926551808951
HE_TG,0.12718837568212818,0.12718837568212818
covid_period_before,0.12627839250225245,0.12627839250225245
educ_2.0,-0.08789927842140612,0.08789927842140612
covid_period_after,-0.07681134517748467,0.07681134517748467
educ_7.0,-0.043502936668821816,0.043502936668821816
pa_aerobic,-0.03844269130655946,0.03844269130655946
educ_3.0,-0.028088790627097543,0.028088790627097543
incm_1.0,0.02271825850845582,0.02271825850845582
educ_6.0,0.021705917350098063,0.021705917350098063
mh_stress,-0.021133707237551976,0.021133707237551976
incm_4.0,0.020500742259961277,0.020500742259961277
incm_3.0,-0.015361744345726716,0.015361744345726716
HE_HPfh2,0.01477311546114799,0.01477311546114799
educ_8.0,0.00714223571416865,0.00714223571416865
incm_2.0,0.0020079407887833496,0.0020079407887833496
sm_presnt,0.0001582990921390913,0.0001582990921390913
