feature,mean_abs_shap
sex,0.5298578746595719
covid_period_after,0.3570383018076173
HE_wc,0.29249452756404204
HE_BMI,0.25910950086653134
HE_HPfh1,0.2062239146240927
age,0.17232465463946633
HE_glu,0.15271945396343
HE_HPfh2,0.14647088205108158
HE_chol,0.11840424087260544
HE_HbA1c,0.1111804638677211
dr_month,0.10183875370280399
HE_TG,0.0849263429985936
covid_period_during,0.07906841451552334
educ_5.0,0.0668945420276522
N_K,0.058456216507034926
N_NA,0.05668407732866121
covid_period_before,0.0542073921483441
incm_1.0,0.0287593711609952
mh_stress,0.023301268202440804
incm_3.0,0.023103262671517757
educ_6.0,0.016478787116234152
incm_4.0,0.013983012710535214
pa_aerobic,0.0117750995642716
HE_HPfh3,0.010978656748961998
sm_presnt,0.009720487541366061
educ_8.0,0.0041687564493468965
incm_2.0,0.004110802032171047
educ_4.0,0.0010736134446666752
educ_7.0,4.7606401099053376e-05
educ_3.0,0.0
educ_2.0,0.0
